date,hits
2014-10-07,65848
2014-10-08,66048
2014-10-09,66419
2014-10-10,66671
2014-10-11,66695
2014-10-12,66783
2014-10-13,66984
2014-10-14,67201
2014-10-15,67499
2014-10-16,67770
2014-10-17,67862
2014-10-18,68211
2014-10-19,68303
2014-10-20,68478
2014-10-21,68761
2014-10-22,69001
2014-10-23,69357
2014-10-24,69577
2014-10-25,69831
2014-10-26,69995
2014-10-27,70313
2014-10-28,70610
2014-10-29,71239
2014-10-30,71579
2014-10-31,71810
2014-11-01,71934
2014-11-02,72037
2014-11-03,72186
2014-11-04,72558
2014-11-05,72771
2014-11-06,72966
2014-11-07,73167
2014-11-08,73473
2014-11-09,73613
2014-11-10,73859
2014-11-11,74165
2014-11-12,74470
2014-11-13,74759
2014-11-14,74909
2014-11-15,75045
2014-11-16,75616
2014-11-17,75839
2014-11-18,76179
2014-11-19,76459
2014-11-20,76757
2014-11-21,77067
2014-11-22,77387
2014-11-23,77490
2014-11-24,77725
2014-11-25,77986
2014-11-26,78319
2014-11-27,78765
2014-11-28,79396
2014-11-29,79578
2014-11-30,79800
2014-12-01,79405
2014-12-02,79819
2014-12-03,80094
2014-12-04,80375
2014-12-05,80399
2014-12-06,80892
2014-12-07,81063
2014-12-08,81352
2014-12-09,81659
2014-12-10,81834
2014-12-11,82149
2014-12-12,82358
2014-12-13,82641
2014-12-14,82794
2014-12-15,82935
2014-12-16,83171
2014-12-17,83482
2014-12-18,83789
2014-12-19,84025
2014-12-20,84194
2014-12-21,84350
2014-12-22,84471
2014-12-23,84645
2014-12-24,84656
2014-12-25,84725
2014-12-26,84805
2014-12-27,84891
2014-12-28,84953
2014-12-29,85045
2014-12-30,85268
2014-12-31,85397
2015-01-01,85497
2015-01-02,85703
2015-01-03,85820
2015-01-04,85990
2015-01-05,86329
2015-01-06,86407
2015-01-07,86581
2015-01-08,86780
2015-01-09,87064
2015-01-10,87150
2015-01-11,87253
2015-01-12,87433
2015-01-13,87662
2015-01-14,87985
2015-01-15,88324
2015-01-16,88473
2015-01-17,88785
2015-01-18,88988
2015-01-19,89288
2015-01-20,89564
2015-01-21,90091
2015-01-22,90387
2015-01-23,90578
2015-01-24,90808
2015-01-25,90967
2015-01-26,91221
2015-01-27,91472
2015-01-28,91870
2015-01-29,92187
2015-01-30,92559
2015-01-31,92932
2015-02-01,93108
2015-02-02,93382
2015-02-03,93559
2015-02-04,94067
2015-02-05,94452
2015-02-06,94765
2015-02-07,95063
2015-02-08,95305
2015-02-09,95497
2015-02-10,95816
2015-02-11,96140
2015-02-12,96594
2015-02-13,96631
2015-02-14,97165
2015-02-15,97241
2015-02-16,97498
2015-02-17,97756
2015-02-18,97871
2015-02-19,98149
2015-02-20,98611
2015-02-21,98780
2015-02-22,99184
2015-02-23,99423
2015-02-24,99855
2015-02-25,100063
2015-02-26,100541
2015-02-27,72896
2015-02-28,81562
2015-03-01,96549
2015-03-02,101560
2015-03-03,101888
2015-03-04,102342
2015-03-05,102998
2015-03-06,103430
2015-03-07,103693
